Index of Training Data,Index of Reserved Data,Index of Testing Data,Model,Empirical coverage,Empirical width
2,0,1,QRF,0.8844109831709478,55.561458587646484
2,0,1,QNN,0.7530262769412459,47.86091613769531
2,0,1,CQRF,0.8836728668438146,54.87338638305664
2,0,1,CQNN,0.9065544729849424,63.6463737487793
2,0,1,CSRF,0.8962208444050782,56.54616035120999
2,0,1,CSXGB,0.8476527900797166,50.50566864013672
1,0,2,QRF,0.8777679362267493,56.155391693115234
1,0,2,QNN,0.7196634189548273,45.31159591674805
1,0,2,CQRF,0.9604369648656629,77.52590942382812
1,0,2,CQNN,0.9421316799527606,90.54845428466797
1,0,2,CSRF,0.9124594036020077,66.10433911446394
1,0,2,CSXGB,0.8934160023619723,64.67521667480469
2,1,0,QRF,0.8936435396759451,55.493106842041016
2,1,0,QNN,0.7000415454923141,43.343467712402344
2,1,0,CQRF,0.9135853759867054,58.88119888305664
2,1,0,CQNN,0.8937820246503254,79.80449676513672
2,1,0,CSRF,0.9098462816784378,63.74062526628723
2,1,0,CSXGB,0.9343581221437474,68.83395385742188
0,1,2,QRF,0.8964132391635508,54.75284194946289
0,1,2,QNN,0.7537737155518627,49.16065979003906
0,1,2,CQRF,0.9479296496330148,76.8357925415039
0,1,2,CQNN,0.9322808475280432,87.88314819335938
0,1,2,CSRF,0.9393435812214375,80.17593632693291
0,1,2,CSXGB,0.9324193325024235,75.34581756591797
1,2,0,QRF,0.8145962732919255,55.91133117675781
1,2,0,QNN,0.5885093167701864,41.520355224609375
1,2,0,CQRF,0.8251552795031056,64.38988494873047
1,2,0,CQNN,0.8392857142857143,84.57369995117188
1,2,0,CSRF,0.8881987577639752,70.37015091576122
1,2,0,CSXGB,0.9077639751552795,73.93183135986328
0,2,1,QRF,0.8149068322981367,56.52245330810547
0,2,1,QNN,0.739751552795031,56.47246551513672
0,2,1,CQRF,0.8507763975155279,65.07523345947266
0,2,1,CQNN,0.8406832298136646,77.04444885253906
0,2,1,CSRF,0.8518633540372671,67.20498114252766
0,2,1,CSXGB,0.8521739130434782,67.74854278564453
