Model,Index of Drive Test for Testing Data,Train R2,Test R2,Train RMSE,Test RMSE,Train MAE,Test MAE
RF,0,0.9841669514232992,0.7062890476568146,4.55006933825448,18.253589703154788,2.881663631258148,13.197102693777357
XGB,0,0.977828860282898,0.6897710561752319,5.3843092918396,18.759849548339844,3.3801429271698,13.677736282348633
NN,0,0.605165421962738,0.454662561416626,22.721830368041992,24.872581481933594,18.13982391357422,20.701805114746094
RF,1,0.9857659764176074,0.7595926950438934,4.365436491505848,16.616316330278387,2.7394454539709994,12.134211092302786
XGB,1,0.9791265726089478,0.762103259563446,5.286409854888916,16.529327392578125,3.2612075805664062,11.923194885253906
NN,1,0.09827888011932373,0.018494844436645508,34.74561309814453,33.574317932128906,25.64535903930664,24.680034637451172
RF,2,0.9846306690455967,0.7013743013794097,4.214559652023967,20.96658771492698,2.6017258304933906,15.733313844697824
XGB,2,0.977079451084137,0.6975429654121399,5.146800994873047,21.100658416748047,3.134828805923462,15.804162979125977
NN,2,0.5039327144622803,0.34356993436813354,23.943906784057617,31.085538864135742,19.687910079956055,24.00149917602539
